system:index,mean_evi,plot_count,year,.geo
0,4597.466942452787,421341,2000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,4748.997818863626,421340,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,4759.971682663553,421332,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,4670.369590240776,421345,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,4887.5995144075705,421341,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,4854.917721053319,421335,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,4693.959975506833,421342,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,4738.794279380947,421353,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,4813.74134313693,421342,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,4839.0165321815075,421360,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,4799.063943456725,421341,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,4802.828517996402,421362,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,4619.432767844005,421346,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,4892.910799938293,421345,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,4998.297543726416,421370,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,4873.55511095289,421350,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,4858.319101267595,421349,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,4931.4470894824535,421334,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,4908.485871200794,421338,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,4918.297425199298,421353,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,4956.582311646518,421362,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,4908.653791656481,421333,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,4870.130519819606,421300,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,4895.66695621836,421341,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,4842.638914665027,421363,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0,0,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
